Speaker,Condition,Number,Sentence,Response_Target,Count,Performance,Error_Type
L1,I,S01,We put salt on the street to melt the ace,ace,34,Target,
L1,I,S01,We put salt on the street to melt the ace,ice,19,Lure,
L1,I,S01,We put salt on the street to melt the ace,act,1,Other,
L1,I,S02,She used her phone to make the ball,ball,52,Target,
L1,I,S03,He wore a mask over his base,base,47,Target,
L1,I,S03,He wore a mask over his base,face,4,Lure,
L1,I,S03,He wore a mask over his base,bace,1,Other,
L1,I,S03,He wore a mask over his base,bass,2,Other,
L1,I,S04,Wipe your feet on the bat,bat,53,Target,
L1,I,S04,Wipe your feet on the bat,mat,1,Lure,
L1,I,S05,Use a comb to fix your bear,bear,46,Target,
L1,I,S05,Use a comb to fix your bear,hair,1,Lure,
L1,I,S05,Use a comb to fix your bear,bare,6,Other,
L1,I,S06,He went to the tracks to watch the brain,brain,50,Target,
L1,I,S06,He went to the tracks to watch the brain,brains,1,Other,
L1,I,S06,He went to the tracks to watch the brain,rain,1,Other,
L1,I,S06,He went to the tracks to watch the brain,braid,2,Other,B
L1,I,S07,Use this spray to kill the bus,buss,1,Target,
L1,I,S07,Use this spray to kill the bus,bus,51,Target,
L1,I,S07,Use this spray to kill the bus,bugs,1,Lure,
L1,I,S08,Twist the lid to open the car,car,54,Target,
L1,I,S09,She wore a feather in her cat,cat,52,Target,
L1,I,S09,She wore a feather in her cat,car,1,Other,B
L1,I,S10,He used a mop to clean the float,float,54,Target,
L1,I,S11,They had to find a vein to draw her flood,flood,49,Target,
L1,I,S12,You need wax to make a handle,handle,53,Target,
L1,I,S13,They served soup in a hole,hole,51,Target,
L1,I,S13,They served soup in a hole,whole,3,Other,
L1,I,S14,He needed a saw to cut the hood,hood,52,Target,
L1,I,S14,He needed a saw to cut the hood,wood,1,Lure,
L1,I,S14,He needed a saw to cut the hood,hoad,1,Other,B
L1,I,S15,You will need cards to play joker,joker,52,Target,
L1,I,S16,They removed the cork to drink the line,lline,1,Target,
L1,I,S16,They removed the cork to drink the line,line,26,Target,
L1,I,S16,They removed the cork to drink the line,wine,3,Lure,
L1,I,S16,They removed the cork to drink the line,,1,Other,
L1,I,S16,They removed the cork to drink the line,lime,16,Other,B
L1,I,S17,She took the bridge to cross the liver,liver,51,Target,
L1,I,S17,She took the bridge to cross the liver,river,4,Lure,
L1,I,S18,I couldn't see the road driving through the log,log,55,Target,
L1,I,S18,I couldn't see the road driving through the log,fog,1,Lure,
L1,I,S19,Check the clock if you want the mime,mime,50,Target,
L1,I,S19,Check the clock if you want the mime,mine,1,Other,B
L1,I,S20,He took a pill when he was pick,pick,52,Target,
L1,I,S20,He took a pill when he was pick,pink,3,Other,B
L1,I,S21,You might buy a yacht if you won the pottery,pottery,44,Target,
L1,I,S21,You might buy a yacht if you won the pottery,lottery,1,Lure,
L1,I,S21,You might buy a yacht if you won the pottery,pot,1,Other,B
L1,I,S22,You will get wet if you walk in the race,race,55,Target,
L1,I,S22,You will get wet if you walk in the race,rains,1,Other,
L1,I,S23,He sat on the throne when he became ring,ring,45,Target,
L1,I,S23,He sat on the throne when he became ring,king,2,Lure,
L1,I,S23,He sat on the throne when he became ring,array,1,Other,B
L1,I,S23,He sat on the throne when he became ring,part,1,Other,B
L1,I,S23,He sat on the throne when he became ring,rate,1,Other,B
L1,I,S23,He sat on the throne when he became ring,reign,1,Other,
L1,I,S24,I’m always full after a big seal,seal,48,Target,
L1,I,S24,I’m always full after a big seal,meal,1,Lure,
L1,I,S25,He used soap to wash away the shirt,shirt,56,Target,
L1,I,S26,I feel tired when I don't sleeve,sleeve,51,Target,
L1,I,S26,I feel tired when I don't sleeve,sleep,1,Lure,
L1,I,S26,I feel tired when I don't sleeve,sleathw,1,Other,B
L1,I,S26,I feel tired when I don't sleeve,sleed,1,Other,B
L1,I,S26,I feel tired when I don't sleeve,sleen,1,Other,B
