"PID","Audio_stimuli","Sentence","Speaker","Condition","CB","Target","Response","Target_Final","Target_Context","Response_Final","Response_Context","autoscore","FH"
11712692,"FHA_L1_S02.wav","S02","L1","I","CB1","She used her phone to make the ball","She used her phone to make the ball.","ball","She used her phone to make the","ball.","She used her phone to make the",1,0
11712692,"FHA_L1_S05.wav","S05","L1","I","CB1","Use a comb to fix your bear","Use a comb to fix your bear.","bear","Use a comb to fix your","bear.","Use a comb to fix your",1,0
11712692,"FHA_L1_S39.wav","S39","L1","C","CB1","He went to the baker to get fresh bread","He went to the baker to get fresh bread.","bread","He went to the baker to get fresh","bread.","He went to the baker to get fresh",1,0
11712692,"FHA_L1_S12.wav","S12","L1","I","CB1","You need wax to make a handle","You need wax to make a handle.","handle","You need wax to make a","handle.","You need wax to make a",1,0
11712692,"FHA_L1_S10.wav","S10","L1","I","CB1","He used a mop to clean the float","He used a mop to clean the float.","float","He used a mop to clean the","float.","He used a mop to clean the",1,0
11712692,"FHA_L1_S44.wav","S44","L1","C","CB1","You'll need a key to open the door","You'll need a key to open the door.","door","You'll need a key to open the","door.","You'll need a key to open the",1,0
11712692,"FHA_L1_S45.wav","S45","L1","C","CB1","Plant a hedge instead of building a fence","Plant a hedge instead of building a fence.","fence","Plant a hedge instead of building a","fence.","Plant a hedge instead of building a",1,0
11712692,"FHA_L1_S37.wav","S37","L1","C","CB1","You will frequently turn a page when reading a book","You will frequently turn a page when reading a book.","book","You will frequently turn a page when reading a","book.","You will frequently turn a page when reading a",1,0
11712692,"FHA_L1_S43.wav","S43","L1","C","CB1","She sung in the school choir","She sung in the school choir.","choir","She sung in the school","choir.","She sung in the school",1,0
11712692,"FHA_L1_S41.wav","S41","L1","C","CB1","The girl swept the floor with a broom","The girl swept the floor with a broom.","broom","The girl swept the floor with a","broom.","The girl swept the floor with a",1,0
11712692,"FHA_L1_S06.wav","S06","L1","I","CB1","He went to the tracks to watch the brain","He went to the tracks to watch the brain.","brain","He went to the tracks to watch the","brain.","He went to the tracks to watch the",1,0
11712692,"FHA_L1_S07.wav","S07","L1","I","CB1","Use this spray to kill the bus","Use the spray to kill the bus.","bus","Use this spray to kill the","bus.","Use the spray to kill the",1,0
11712692,"FHA_L1_S42.wav","S42","L1","C","CB1","They built a moat around the castle","They built a moat around the castle.","castle","They built a moat around the","castle.","They built a moat around the",1,0
11712692,"FHA_L1_S15.wav","S15","L1","I","CB1","You will need cards to play joker","You will need cards to play joker.","joker","You will need cards to play","joker.","You will need cards to play",1,0
11712692,"FHA_L1_S34.wav","S34","L1","C","CB1","He got drunk at the local bar","He got drunk at the local bar.","bar","He got drunk at the local","bar.","He got drunk at the local",1,0
11712692,"FHA_L1_S08.wav","S08","L1","I","CB1","Twist the lid to open the car","Twist the lid to open the car.","car","Twist the lid to open the","car.","Twist the lid to open the",1,0
11712692,"FHA_L1_S04.wav","S04","L1","I","CB1","Wipe your feet on the bat","Wipe your feet on the bat.","bat","Wipe your feet on the","bat.","Wipe your feet on the",1,0
11712692,"FHA_L1_S01.wav","S01","L1","I","CB1","We put salt on the street to melt the ace","We put salt on the street to melt the ice.","ace","We put salt on the street to melt the","ice.","We put salt on the street to melt the",0,1
11712692,"FHA_L1_S13.wav","S13","L1","I","CB1","They served soup in a hole","They served soup in a hole.","hole","They served soup in a","hole.","They served soup in a",1,0
11712692,"FHA_L1_S33.wav","S33","L1","C","CB1","She went to the concert to see the band","She went to the concert to see the band.","band","She went to the concert to see the","band.","She went to the concert to see the",1,0
11712692,"FHA_L1_S14.wav","S14","L1","I","CB1","He needed a saw to cut the hood","He needed a saw to cut the hood.","hood","He needed a saw to cut the","hood.","He needed a saw to cut the",1,0
11712692,"FHA_L1_S36.wav","S36","L1","C","CB1","He threw the seeds to the bird","He threw the seeds to the bird.","bird","He threw the seeds to the","bird.","He threw the seeds to the",1,0
11712692,"FHA_L1_S46.wav","S46","L1","C","CB1","He iced his knuckles after the fight","He iced his knuckles after the fight.","fight","He iced his knuckles after the","fight.","He iced his knuckles after the",1,0
11712692,"FHA_L1_S40.wav","S40","L1","C","CB1","She wore a white gown because she was the bride","She wore a white gown because she was the bride.","bride","She wore a white gown because she was the","bride.","She wore a white gown because she was the",1,0
